Regime,Epicentro,Ativo,Barreira_Contagio
Regime_1,ITUB4.SA,BBDC4.SA,0.3583
Regime_1,BBDC4.SA,ITUB4.SA,0.3583
Regime_1,ITUB4.SA,BBAS3.SA,0.3586
Regime_1,BBDC4.SA,BBAS3.SA,0.3586
Regime_1,BBAS3.SA,BBDC4.SA,0.3586
Regime_1,BBAS3.SA,ITUB4.SA,0.3586
Regime_1,ITUB4.SA,SANB11.SA,0.3905
Regime_1,BBDC4.SA,SANB11.SA,0.3905
Regime_1,BBAS3.SA,SANB11.SA,0.3905
Regime_1,SANB11.SA,BBAS3.SA,0.3905
Regime_1,SANB11.SA,BBDC4.SA,0.3905
Regime_1,SANB11.SA,ITUB4.SA,0.3905
Regime_1,CYRE3.SA,EZTC3.SA,0.4764
Regime_1,EZTC3.SA,CYRE3.SA,0.4764
Regime_1,MRVE3.SA,CYRE3.SA,0.5641
Regime_1,MRVE3.SA,EZTC3.SA,0.5641
Regime_1,CYRE3.SA,MRVE3.SA,0.5641
Regime_1,EZTC3.SA,MRVE3.SA,0.5641
Regime_1,ITUB4.SA,B3SA3.SA,0.5901
Regime_1,BBDC4.SA,B3SA3.SA,0.5901
Regime_1,BBAS3.SA,B3SA3.SA,0.5901
Regime_1,SANB11.SA,B3SA3.SA,0.5901
Regime_1,B3SA3.SA,BBAS3.SA,0.5901
Regime_1,B3SA3.SA,BBDC4.SA,0.5901
Regime_1,B3SA3.SA,ITUB4.SA,0.5901
Regime_1,B3SA3.SA,SANB11.SA,0.5901
Regime_1,ITUB4.SA,CYRE3.SA,0.5909
Regime_1,ITUB4.SA,EZTC3.SA,0.5909
Regime_1,ITUB4.SA,MRVE3.SA,0.5909
Regime_1,BBDC4.SA,CYRE3.SA,0.5909
Regime_1,BBDC4.SA,EZTC3.SA,0.5909
Regime_1,BBDC4.SA,MRVE3.SA,0.5909
Regime_1,BBAS3.SA,CYRE3.SA,0.5909
Regime_1,BBAS3.SA,EZTC3.SA,0.5909
Regime_1,BBAS3.SA,MRVE3.SA,0.5909
Regime_1,SANB11.SA,CYRE3.SA,0.5909
Regime_1,SANB11.SA,EZTC3.SA,0.5909
Regime_1,SANB11.SA,MRVE3.SA,0.5909
Regime_1,MRVE3.SA,B3SA3.SA,0.5909
Regime_1,MRVE3.SA,BBAS3.SA,0.5909
Regime_1,MRVE3.SA,BBDC4.SA,0.5909
Regime_1,MRVE3.SA,ITUB4.SA,0.5909
Regime_1,MRVE3.SA,SANB11.SA,0.5909
Regime_1,CYRE3.SA,B3SA3.SA,0.5909
Regime_1,CYRE3.SA,BBAS3.SA,0.5909
Regime_1,CYRE3.SA,BBDC4.SA,0.5909
Regime_1,CYRE3.SA,ITUB4.SA,0.5909
Regime_1,CYRE3.SA,SANB11.SA,0.5909
Regime_1,EZTC3.SA,B3SA3.SA,0.5909
Regime_1,EZTC3.SA,BBAS3.SA,0.5909
