Origem,Destino,Distancia_Mantegna
AMER3.SA,CVCB3.SA,1.2176
CVCB3.SA,MGLU3.SA,0.8775
MGLU3.SA,SMFT3.SA,0.8732
SMFT3.SA,CYRE3.SA,0.7419
CYRE3.SA,IGTI11.SA,0.7878
CYRE3.SA,EZTC3.SA,0.8069
IGTI11.SA,B3SA3.SA,0.8491
CYRE3.SA,ITUB4.SA,0.8533
ITUB4.SA,BPAC11.SA,0.7956
ITUB4.SA,SANB11.SA,0.8268
SANB11.SA,BBDC4.SA,0.8226
IGTI11.SA,MRVE3.SA,0.8548
SMFT3.SA,LREN3.SA,0.871
LREN3.SA,CEAB3.SA,0.802
IGTI11.SA,SBSP3.SA,0.9029
IGTI11.SA,VIVT3.SA,0.981
VIVT3.SA,TIMS3.SA,0.7202
BPAC11.SA,BBAS3.SA,1.0235
MGLU3.SA,RADL3.SA,1.1206
BBAS3.SA,BBSE3.SA,1.1293
SANB11.SA,PETR4.SA,1.1563
MGLU3.SA,VALE3.SA,1.158
