evento,ativo,peso,impacto
2023-02-01,ITUB4.SA,0.4043,-0.4043
2023-02-01,BBDC4.SA,0.4332,-0.4332
2023-02-01,BBAS3.SA,3.0713,-3.0713
2023-02-01,BPAC11.SA,5.0277,-5.0277
2023-02-01,SANB11.SA,4.9135,-4.9135
2023-02-01,MGLU3.SA,2.0316,-2.0316
2023-02-01,LREN3.SA,0.6935,0.6935
2023-02-01,RADL3.SA,2.7386,-2.7386
2023-02-01,CEAB3.SA,2.6846,2.6846
2023-02-01,SMFT3.SA,4.4738,4.4738
2023-02-01,IGTI11.SA,2.449,-2.449
2023-02-01,AMER3.SA,4.0,-4.0
2023-02-01,PETR4.SA,5.9455,-5.9455
2023-02-01,VALE3.SA,5.6819,-5.6819
2023-02-01,SBSP3.SA,0.0898,0.0898
2023-02-01,MRVE3.SA,0.7123,-0.7123
2023-02-01,CYRE3.SA,0.6588,-0.6588
2023-02-01,EZTC3.SA,4.4369,-4.4369
2023-02-01,VIVT3.SA,5.4998,-5.4998
2023-02-01,TIMS3.SA,3.2231,-3.2231
2023-02-01,CVCB3.SA,2.6667,2.6667
2023-02-01,BBSE3.SA,3.388,-3.388
2023-02-01,B3SA3.SA,0.3086,0.3086
2023-12-13,ITUB4.SA,3.8875,3.8875
2023-12-13,BBDC4.SA,6.1538,6.1538
2023-12-13,BBAS3.SA,1.5809,1.5809
2023-12-13,BPAC11.SA,7.2177,7.2177
2023-12-13,SANB11.SA,3.3474,3.3474
2023-12-13,MGLU3.SA,6.579,6.579
2023-12-13,LREN3.SA,7.7826,7.7826
2023-12-13,RADL3.SA,3.6555,3.6555
2023-12-13,CEAB3.SA,1.4002,1.4002
2023-12-13,SMFT3.SA,1.9663,1.9663
2023-12-13,IGTI11.SA,4.827,4.827
2023-12-13,AMER3.SA,1.0989,-1.0989
2023-12-13,PETR4.SA,3.6385,3.6385
2023-12-13,VALE3.SA,0.5617,0.5617
2023-12-13,SBSP3.SA,2.99,2.99
2023-12-13,MRVE3.SA,12.8125,12.8125
2023-12-13,CYRE3.SA,8.3816,8.3816
2023-12-13,EZTC3.SA,1.6216,1.6216
2023-12-13,VIVT3.SA,1.8553,1.8553
2023-12-13,TIMS3.SA,3.5314,3.5314
2023-12-13,CVCB3.SA,2.965,2.965
2023-12-13,BBSE3.SA,1.3778,1.3778
2023-12-13,B3SA3.SA,7.0758,7.0758
2021-06-16,ITUB4.SA,0.7966,0.7966
2021-06-16,BBDC4.SA,0.0716,0.0716
2021-06-16,BBAS3.SA,1.6901,-1.6901
2021-06-16,BPAC11.SA,0.2295,0.2295
2021-06-16,SANB11.SA,0.0223,-0.0223
2021-06-16,MGLU3.SA,2.0105,2.0105
2021-06-16,LREN3.SA,2.6288,-2.6288
2021-06-16,RADL3.SA,2.6103,-2.6103
2021-06-16,CEAB3.SA,0.0681,-0.0681
2021-06-16,AMER3.SA,2.2416,-2.2416
2021-06-16,PETR4.SA,3.1002,-3.1002
2021-06-16,VALE3.SA,5.0224,-5.0224
2021-06-16,SBSP3.SA,1.7135,-1.7135
2021-06-16,MRVE3.SA,2.5086,-2.5086
2021-06-16,CYRE3.SA,2.1078,-2.1078
2021-06-16,EZTC3.SA,0.6815,0.6815
2021-06-16,VIVT3.SA,1.3018,-1.3018
2021-06-16,TIMS3.SA,0.3867,0.3867
2021-06-16,CVCB3.SA,3.9024,3.9024
2021-06-16,BBSE3.SA,0.1993,0.1993
2021-06-16,B3SA3.SA,2.9994,2.9994
2020-03-18,ITUB4.SA,9.3254,-9.3254
2020-03-18,BBDC4.SA,11.4005,-11.4005
2020-03-18,BBAS3.SA,19.7678,-19.7678
2020-03-18,BPAC11.SA,5.5714,-5.5714
2020-03-18,SANB11.SA,8.116,-8.116
2020-03-18,MGLU3.SA,14.113,-14.113
2020-03-18,LREN3.SA,4.5148,-4.5148
2020-03-18,RADL3.SA,3.7866,3.7866
2020-03-18,CEAB3.SA,20.5298,-20.5298
2020-03-18,AMER3.SA,9.3669,-9.3669
2020-03-18,PETR4.SA,6.0769,-6.0769
2020-03-18,VALE3.SA,12.3103,-12.3103
2020-03-18,SBSP3.SA,19.7869,-19.7869
2020-03-18,MRVE3.SA,16.7185,-16.7185
2020-03-18,CYRE3.SA,12.7596,-12.7596
2020-03-18,EZTC3.SA,6.188,-6.188
2020-03-18,VIVT3.SA,5.7005,5.7005
2020-03-18,TIMS3.SA,5.3748,5.3748
2020-03-18,CVCB3.SA,25.1256,-25.1256
2020-03-18,BBSE3.SA,8.2489,-8.2489
2020-03-18,B3SA3.SA,8.5256,-8.5256
