Origem,Destino,Distancia_Mantegna
AMER3.SA,BPAC11.SA,1.1786
BPAC11.SA,B3SA3.SA,0.7133
BPAC11.SA,IGTI11.SA,0.7362
BPAC11.SA,CYRE3.SA,0.7498
CYRE3.SA,EZTC3.SA,0.5773
EZTC3.SA,LREN3.SA,0.7556
BPAC11.SA,ITUB4.SA,0.7836
ITUB4.SA,BBDC4.SA,0.6952
ITUB4.SA,SANB11.SA,0.7495
EZTC3.SA,MRVE3.SA,0.8051
BPAC11.SA,SMFT3.SA,0.8327
IGTI11.SA,RADL3.SA,0.8406
ITUB4.SA,BBAS3.SA,0.8996
BBAS3.SA,PETR4.SA,0.8655
CYRE3.SA,SBSP3.SA,0.9075
CYRE3.SA,MGLU3.SA,0.9411
B3SA3.SA,CVCB3.SA,0.9494
LREN3.SA,CEAB3.SA,0.9885
EZTC3.SA,VIVT3.SA,1.0015
VIVT3.SA,TIMS3.SA,0.9028
BPAC11.SA,BBSE3.SA,1.1024
SANB11.SA,VALE3.SA,1.2115
