No,Tipo,Metrica,Valor
2020-02-05,Evento,Centralidade_Grau,21
ITUB4.SA,Ativo,Centralidade_Grau,48
2020-03-18,Evento,Centralidade_Grau,21
2020-05-06,Evento,Centralidade_Grau,21
2020-06-17,Evento,Centralidade_Grau,21
2020-08-05,Evento,Centralidade_Grau,21
2020-09-16,Evento,Centralidade_Grau,21
2020-10-28,Evento,Centralidade_Grau,21
2020-12-09,Evento,Centralidade_Grau,21
2021-01-20,Evento,Centralidade_Grau,21
2021-03-17,Evento,Centralidade_Grau,21
2021-05-05,Evento,Centralidade_Grau,21
2021-06-16,Evento,Centralidade_Grau,21
2021-08-04,Evento,Centralidade_Grau,22
2021-09-22,Evento,Centralidade_Grau,22
2021-10-27,Evento,Centralidade_Grau,22
2021-12-08,Evento,Centralidade_Grau,23
2022-02-02,Evento,Centralidade_Grau,23
2022-03-16,Evento,Centralidade_Grau,23
2022-05-04,Evento,Centralidade_Grau,23
2022-06-15,Evento,Centralidade_Grau,23
2022-08-03,Evento,Centralidade_Grau,23
2022-09-21,Evento,Centralidade_Grau,23
2022-10-26,Evento,Centralidade_Grau,23
2022-12-07,Evento,Centralidade_Grau,23
2023-02-01,Evento,Centralidade_Grau,23
2023-03-22,Evento,Centralidade_Grau,23
2023-05-03,Evento,Centralidade_Grau,23
2023-06-21,Evento,Centralidade_Grau,23
2023-08-02,Evento,Centralidade_Grau,23
2023-09-20,Evento,Centralidade_Grau,23
2023-11-01,Evento,Centralidade_Grau,23
2023-12-13,Evento,Centralidade_Grau,23
2024-01-31,Evento,Centralidade_Grau,23
2024-03-20,Evento,Centralidade_Grau,23
2024-05-08,Evento,Centralidade_Grau,23
2024-06-19,Evento,Centralidade_Grau,23
2024-07-31,Evento,Centralidade_Grau,23
2024-09-18,Evento,Centralidade_Grau,23
2024-11-06,Evento,Centralidade_Grau,23
2024-12-11,Evento,Centralidade_Grau,23
2025-01-29,Evento,Centralidade_Grau,23
2025-03-19,Evento,Centralidade_Grau,23
2025-05-07,Evento,Centralidade_Grau,23
